"ensembl_gene_id"	"hgnc_symbol"	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"ENSG00000164713"	"BRI3"	0.026984412433231	4.25325848288263	0.169273054397925	0.86348325026519	0.999984409927665
"ENSG00000164715"	"LMTK2"	-0.0897650397356285	8.37724696291882	1.79293788236606	0.192538434729302	0.999984409927665
"ENSG00000164733"	"CTSB"	-0.0106301558345985	8.0323200577794	0.0204928400914572	0.887309228331998	0.999984409927665
"ENSG00000164736"	"SOX17"	-0.169202891120562	1.79828933267224	0.597324121080612	0.738636755215869	0.999984409927665
"ENSG00000164741"	"DLC1"	-0.0852605086967016	6.34641088059932	0.462798883288953	0.502529784074778	0.999984409927665
"ENSG00000164742"	"ADCY1"	-0.0111509584866249	9.27623568986706	0.0352640089324969	0.852549420396565	0.999984409927665
"ENSG00000164743"	"C8orf48"	-0.0824573112837006	1.809572058437	0.172502080129573	0.868715140908868	0.999984409927665
"ENSG00000164751"	"PEX2"	0.135820773704112	4.5606901100721	2.06010629944786	0.325545997594309	0.999984409927665
"ENSG00000164754"	"RAD21"	0.0925731122169434	7.46318102580124	2.19385794217698	0.150974693153665	0.999984409927665
"ENSG00000164758"	"MED30"	0.0650586329117292	2.54157462333266	0.26975538604306	0.840185633356944	0.999984409927665
"ENSG00000164776"	"PHKG1"	0.107533572780602	2.91762279696579	0.335387704339831	0.689338684142293	0.999984409927665
"ENSG00000164794"	"KCNV1"	0.0184940484152629	6.84404694152587	0.028856958614816	0.866467923715706	0.999984409927665
"ENSG00000164796"	"CSMD3"	0.00650569507248593	7.34947533419793	0.00519700958767193	0.943099932823578	0.999984409927665
"ENSG00000164808"	"SPIDR"	-0.0329961965470147	6.04974207926254	0.342267458900691	0.688150887590337	0.999984409927665
"ENSG00000164815"	"ORC5"	0.0873809197988063	4.51274197840198	1.28934615717025	0.53645967812985	0.999984409927665
"ENSG00000164818"	"DNAAF5"	-0.022363341358048	4.03008319845767	0.0542036778612645	0.896343299114994	0.999984409927665
"ENSG00000164823"	"OSGIN2"	0.106059364022406	4.97534963570036	1.14879590325387	0.372908413475335	0.999984409927665
"ENSG00000164828"	"SUN1"	-0.0234249948546561	6.91558221141335	0.208870727179297	0.700140061479823	0.999984409927665
"ENSG00000164830"	"OXR1"	0.0326528384557055	8.51436364855391	0.204458911285012	0.655019005948875	0.999984409927665
"ENSG00000164841"	"TMEM74"	-0.00281294166827099	2.90294008200307	0.00054424978922323	0.9917936834046	0.999984409927665
"ENSG00000164849"	"GPR146"	0.0323849360462584	2.53547082712121	0.0370222594324337	0.920531881159461	0.999984409927665
"ENSG00000164850"	"GPER1"	0.0675992976922451	2.76784500553062	0.182031801925372	0.815207011092314	0.999984409927665
